Investment Name,Capital Committed,Unfunded Commitment,Paid-in Capital/Capital Drawn,Total Capital Distributed,Reported Market Value,Net IRR,Date,Capital Distributed Per Quarter
"TPG Partners V, L.P.",0.24542191726448595,0.22173366759229865,0.23598275162572457,0.0898096602012908,0.1638997272266042,0.8165657788539145,2013-03-31,0.06644987570932365
"TPG Partners V, L.P.",0.24542191726448595,0.22173366759229865,0.23598275162572457,0.09204428196514194,0.16726638305255778,0.8166409861325116,2013-06-30,0.07118464055109454
"TPG Partners V, L.P.",0.24542191726448595,0.21694016261971383,0.23973780661991703,0.09968612603367667,0.17637832201153747,0.8168244185193337,2013-09-30,0.08264157991954195
"TPG Partners V, L.P.",0.24542191726448595,0.21694016261971383,0.23973780661991703,0.11228765523041116,0.1847320943823103,0.8171912832929782,2013-12-31,0.09315026785551901
"TPG Partners V, L.P.",0.24542191726448595,0.21660691080242464,0.23999886380208174,0.13935141146152963,0.17663477518097476,0.8173747156798004,2014-03-31,0.12379314675512312
"TPG Partners V, L.P.",0.24542191726448595,0.21639068870854059,0.24016824421539887,0.144636102843778,0.19155759680473114,0.8175581480666225,2014-06-30,0.07764719391370599
"TPG Partners V, L.P.",0.24542191726448595,0.21550139016804376,0.2408648878915647,0.14699308642859812,0.1848872079893951,0.8173747156798004,2014-09-30,0.0714439034193218
"TPG Partners V, L.P.",0.24542191726448595,0.21550139016804376,0.2408648878915647,0.15049643590927264,0.19069505081872726,0.8175581480666225,2014-12-31,0.0738728482310569
"TPG Partners V, L.P.",0.24542191726448595,0.21492198727200568,0.24131877074990335,0.1682018599646137,0.18889263925576957,0.8175581480666225,2015-03-31,0.10396451048196623
"TPG Partners V, L.P.",0.24542191726448595,0.21492198727200568,0.24131877074990335,0.20867187897811199,0.15731487551499002,0.8175581480666225,2015-06-30,0.15219862579787646
"TPG Partners V, L.P.",0.24542191726448595,0.21492198727200568,0.24131877074990335,0.2231035527595763,0.14222762749348067,0.8175581480666225,2015-09-30,0.09702801771695525
"TPG Partners V, L.P.",0.24542191726448595,0.21492198727200568,0.24131877074990335,0.23201169624787926,0.13330732702372827,0.8175581480666225,2015-12-31,0.0853246424712736
"TPG Partners V, L.P.",0.24542191726448595,0.21492198727200568,0.24131877074990335,0.24389416542582265,0.12345230351174324,0.8175581480666225,2016-03-31,0.09162670796222065
"TPG Partners V, L.P.",0.24542191726448595,0.21492198727200568,0.24131877074990335,0.27113124389577525,0.10549915837557894,0.8175581480666225,2016-06-30,0.12416038565702779
"TPG Partners V, L.P.",0.24542191726448595,0.21492198727200568,0.24131877074990335,0.28415823238156174,0.09769156067763989,0.8175581480666225,2016-09-30,0.09405174018340705
"TPG Partners V, L.P.",0.24542191726448595,0.21492198727200568,0.24131877074990335,0.2855030625222504,0.0927144129188063,0.8175581480666225,2016-12-31,0.06929933084812652
